Iteration,readAccel,readGyro,getClickSense,getClickBLE,applyCalibration,sensorFusion,mouseMove,ax,ay,dx,dy
113,947,913,25,1,18,13,302,-0.79,0,-28,1
114,946,913,27,0,18,13,309,-0.69,0,-27,1
115,947,913,26,0,18,13,304,-0.68,0,-27,1
116,945,912,27,1,17,12,302,-0.69,0,-27,0
117,947,913,26,0,18,13,305,-0.7,0,-27,0
118,959,915,30,1,17,13,315,-0.52,-0.13,-26,0
119,942,912,26,1,17,13,305,-0.5,-0.15,-25,-1
120,944,913,29,0,18,13,304,-0.49,-0.14,-23,-2
121,942,912,26,1,17,13,305,-0.5,-0.19,-23,-3
122,953,916,28,1,17,13,311,-0.36,-0.15,-21,-3
123,942,912,26,0,17,13,304,-0.29,-0.21,-19,-4
124,943,914,28,1,17,13,310,-0.26,-0.16,-17,-4
125,942,912,26,1,17,13,304,-0.26,-0.18,-16,-5
126,943,917,28,1,17,13,311,-0.13,0,-13,-4
127,950,914,25,1,17,13,306,0,0,-11,-3
128,933,912,26,1,17,12,293,0,0,-8,-2
129,932,909,24,0,17,13,294,0,0,-7,-2
130,934,923,26,1,18,13,316,0,-0.34,-5,-4
131,970,921,26,1,17,13,305,0.19,0,-3,-3
132,945,926,30,1,17,13,302,0.16,-0.11,-1,-3
133,945,917,26,1,17,13,306,0,-0.1,0,-3
134,947,913,27,1,17,13,315,0.1,-0.25,0,-5
135,944,931,27,1,17,13,356,0.55,-0.55,4,-8
136,941,918,30,1,18,13,303,0.21,-0.15,5,-7
137,944,934,38,1,20,13,305,0.13,0,5,-6
138,947,913,29,1,17,13,308,0.21,0,5,-5
139,946,912,26,1,17,12,313,0.28,0,6,-4
140,947,913,29,1,17,13,309,0.36,-0.18,8,-4
141,943,913,27,0,18,13,305,0.28,-0.2,8,-5
142,941,912,31,1,18,13,303,0.25,-0.19,9,-5
143,943,912,26,608,22,20,286,0.19,0,8,-4
144,947,913,28,1,17,13,305,0,0.45,7,0
145,944,935,34,1,18,12,316,0,0,5,0
146,932,910,27,0,18,12,294,0,0,4,0
147,930,910,24,1,17,12,303,0.17,0,4,0
148,947,913,29,1,17,12,306,0.19,0,5,0
149,945,912,26,0,18,12,303,0.16,0,5,0
150,947,913,29,1,17,12,303,0,0.13,4,1
151,944,912,27,1,17,13,302,0,0.13,3,1
152,949,913,29,1,18,10,311,0,0,0,0
153,932,909,24,1,17,10,295,0,0,0,0
154,930,909,26,1,17,11,294,0,0,0,0
155,930,909,24,0,18,10,301,0,0,0,0
156,931,910,26,0,18,12,304,0,0,0,0
157,929,909,24,0,18,12,294,0,0,0,0
158,930,909,27,1,17,12,294,0,0,0,0
159,927,909,24,0,18,12,295,0,0,0,0
160,930,909,27,1,17,11,294,0,0,0,0
161,953,912,24,0,18,12,305,0.27,0,2,0
162,947,913,29,1,17,13,305,0.33,-0.12,4,0
163,942,912,26,0,17,13,304,0.35,0,6,0
164,947,913,28,1,17,13,303,0.33,0,7,0
165,958,916,26,1,17,13,310,0.28,0,8,0
166,947,913,29,1,17,13,306,0.26,0,8,0
167,963,927,25,1,17,12,300,0.27,0,9,0
168,947,913,29,1,17,13,305,0.27,0,9,0
169,946,912,26,0,18,13,301,0.28,0,9,0
170,949,916,27,1,17,9,310,0,0,0,0
171,928,922,24,1,18,9,324,0,0,0,0
172,930,909,26,1,17,11,295,0.31,0,2,0
173,945,929,25,1,17,12,305,0.31,0,4,0
174,961,921,28,1,17,12,302,0.3,0,5,0
175,946,915,32,1,18,10,339,0,0,0,0
176,949,914,26,0,18,12,293,0,0,0,0
177,927,923,28,1,20,12,308,0.12,0,0,0
178,949,916,27,0,18,12,304,0.1,0,1,0
179,946,912,25,0,17,12,309,0.28,0,3,0
180,947,929,37,1,17,13,328,0.18,0,4,0
181,945,912,27,0,18,12,301,0,0,3,0
182,930,911,26,0,17,12,294,0,0,2,0
183,927,909,24,0,18,13,297,0,-0.16,2,-1
184,947,913,28,1,17,10,313,0,0,0,0
185,930,909,25,1,17,11,295,0,0,0,0
186,950,910,26,1,18,12,295,0,0,0,0
187,927,909,24,1,18,12,295,0,0,0,0
188,938,909,26,0,17,11,304,0.18,0,1,0
189,945,912,27,1,17,12,305,0.18,0,2,0
190,948,916,29,1,17,12,309,0.19,0,3,0
191,945,912,26,0,18,12,303,0.18,0,4,0
192,950,915,28,1,17,12,306,0.18,0,4,0
193,946,912,26,1,17,12,312,0,0,3,0
194,933,911,26,1,18,12,294,0,0,3,0
195,927,909,24,0,17,12,295,-0.18,0,1,0
196,960,918,27,0,18,13,303,0,0,0,0
197,933,909,24,1,17,13,304,-1.03,-1.76,-7,-14
198,938,930,28,1,17,13,315,0,0.16,-6,-9
199,957,914,28,1,18,13,303,0,-0.1,-4,-8
200,945,921,27,0,18,9,304,0,0,0,0
201,931,909,25,1,18,10,297,0,0,0,0
202,930,910,28,0,17,12,307,0.14,0,1,0
203,961,917,26,0,18,13,307,0.14,0,2,0
204,945,912,29,1,17,12,303,0.14,0,2,0
205,971,930,26,1,18,13,304,0.17,0,3,0
206,946,912,29,609,20,16,305,0.11,0,3,0
207,949,916,26,0,18,14,305,0.1,0,3,0
208,955,926,33,0,18,12,316,0,0,3,0
209,935,909,26,1,17,11,295,0,0,2,0
210,927,927,24,0,18,11,294,0,0,1,0
211,932,909,26,0,18,9,305,0,0,0,0
212,927,909,24,0,17,10,298,0,0,0,0
213,934,910,26,1,18,12,295,0,0,0,0
214,927,909,24,1,18,12,297,0,0,0,0
215,933,926,28,1,18,12,310,0,0,0,0
216,927,909,24,1,18,12,295,0,0,0,0
217,930,928,36,1,19,12,294,0,0,0,0
218,927,909,24,1,18,12,294,0,0,0,0
219,932,910,26,1,17,12,295,0,0,0,0
220,929,909,24,0,17,10,305,0,0,0,0
221,930,910,26,0,18,9,295,0,0,0,0
222,927,909,24,1,18,10,296,0,0,0,0
223,930,910,26,1,18,12,296,0,0,0,0
224,929,909,24,1,17,12,305,0,0,0,0
225,930,909,27,1,18,12,295,0,0,0,0
226,927,909,24,1,18,10,296,0,0,0,0
227,930,910,26,0,18,10,295,0,0,0,0
228,927,909,24,1,17,10,297,0,0,0,0
229,932,909,26,1,17,12,305,0,0,0,0
230,927,909,24,0,18,12,295,0,0,0,0
231,930,909,27,1,17,12,296,0,0,0,0
232,927,909,24,1,18,12,295,0,0,0,0
233,930,909,26,1,17,12,296,0,0,0,0
234,929,909,24,0,17,12,304,0,0.16,0,1
235,949,917,29,1,17,9,312,0,0,0,0
236,930,909,26,1,17,9,296,0,0,0,0
237,930,910,26,1,18,12,295,0,0,0,0
238,932,909,24,1,18,12,305,0,0,0,0
239,946,911,26,0,15,12,295,0,0,0,0
240,932,910,24,1,17,12,296,0,0,0,0
241,942,912,26,1,17,11,295,0,0,0,0
242,927,909,24,0,18,12,295,0,0,0,0
243,931,910,26,0,18,9,331,0,0,0,0
244,929,913,24,0,17,13,296,0,-0.14,0,-1
245,946,926,43,1,19,10,335,0,0,0,0
246,946,913,25,1,18,10,296,0,0,0,0
247,932,909,26,0,18,12,305,0,0,0,0
248,932,912,24,1,17,12,298,0,-0.17,0,-1
249,946,912,29,1,17,13,306,0.1,0.23,0,0
250,941,915,27,1,17,12,304,0,0,0,0
251,930,909,28,1,17,12,297,0,0,0,0
252,930,909,23,1,17,12,304,0,-0.12,0,0
253,946,912,27,1,17,12,305,0,-0.2,0,-2
254,945,912,27,1,17,12,304,0,-0.26,0,-4
255,946,912,28,1,17,13,305,0,-0.27,0,-5
256,946,912,26,1,17,13,312,-0.18,-0.82,-1,-10
257,942,912,29,1,18,13,306,-0.12,-0.81,-2,-15
258,942,912,26,1,17,13,303,0,-0.81,-1,-18
259,946,912,27,1,16,13,305,0,-0.76,-1,-20
260,972,921,25,1,17,13,310,-0.17,-0.8,-2,-23
261,942,912,30,1,17,13,305,-0.15,-0.8,-3,-24
262,947,914,26,1,18,13,305,-0.13,-0.82,-3,-26
263,942,912,27,1,17,13,303,-0.15,-0.86,-4,-28
264,943,929,27,1,17,13,339,-0.11,-0.84,-4,-29
265,966,928,30,1,17,13,305,-0.13,-0.84,-4,-30
266,941,932,26,0,17,13,305,-0.13,-0.85,-4,-30
267,942,911,28,1,17,13,306,0,-0.86,-3,-31
268,947,916,31,1,17,13,343,0,-0.91,-2,-32
269,961,918,28,0,18,13,311,0,-0.92,-2,-33
270,946,925,25,0,17,13,340,0,-0.93,-1,-34
271,963,927,28,1,17,13,310,0,-0.93,-1,-34
272,947,913,25,1,18,13,318,0,-0.88,-1,-34
273,945,912,29,0,18,13,347,0,-0.84,0,-34
274,946,912,26,1,17,13,310,0,-0.85,0,-34
275,945,930,33,0,18,14,336,0,-0.83,0,-34
276,947,913,25,1,18,12,316,0,-0.86,0,-34
277,946,913,30,0,18,12,316,0,-0.84,0,-34
278,946,912,26,1,17,12,309,0,-0.86,0,-34
279,945,912,29,0,18,13,345,0,-0.86,0,-34
280,947,913,26,0,17,12,319,0,-0.96,0,-35
281,945,912,28,0,17,12,311,0,-0.88,0,-35
282,946,912,25,0,18,12,310,0,-0.89,0,-35
283,945,912,28,1,17,13,312,0,-0.85,0,-35
284,947,913,27,0,18,13,312,0.1,-0.34,0,-30
285,942,912,27,1,17,12,303,0,-0.26,0,-26
286,946,912,25,0,18,12,303,0,0,0,-21
287,928,909,28,1,17,12,298,0,0,0,-17
288,932,909,24,1,17,12,305,0,0.39,0,-10
289,946,914,29,1,17,12,310,0,0.42,0,-5
290,947,913,26,0,18,13,306,0,0.5,0,0
291,944,913,28,0,17,12,304,0,0.51,0,4
292,951,917,28,1,17,13,311,0.21,0.59,1,7
293,957,917,29,1,17,13,304,0.18,0.56,2,10
